# seed=380437426 arm_mapping={0: 'random-nominal', 1: 'full', 2: 'baseline', 3: 'local-only', 4: 'random-matched'}
block,position,arm,base_config,base_config_hash,cell_config,run_name
0,0,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block00-pos0-full.json,interleaved-block00-pos0-full
0,1,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block00-pos1-baseline.json,interleaved-block00-pos1-baseline
0,2,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block00-pos2-random-nominal.json,interleaved-block00-pos2-random-nominal
0,3,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block00-pos3-local-only.json,interleaved-block00-pos3-local-only
0,4,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block00-pos4-random-matched.json,interleaved-block00-pos4-random-matched
1,0,baseline,config/quorum-handshake-covinst-rq6-baseline-final-n30.json,84db33827485,config/interleaved-replication/cell-configs/interleaved-block01-pos0-baseline.json,interleaved-block01-pos0-baseline
1,1,full,config/quorum-handshake-covinst-rq6-full-final-n30.json,cc062128ed47,config/interleaved-replication/cell-configs/interleaved-block01-pos1-full.json,interleaved-block01-pos1-full
1,2,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block01-pos2-local-only.json,interleaved-block01-pos2-local-only
1,3,random-nominal,config/quorum-handshake-covinst-rq7-random-nominal-final-n30.json,0e1f1c1710d1,config/interleaved-replication/cell-configs/interleaved-block01-pos3-random-nominal.json,interleaved-block01-pos3-random-nominal
1,4,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block01-pos4-random-matched.json,interleaved-block01-pos4-random-matched
2,0,local-only,config/quorum-handshake-covinst-rq6-local-only-final-n30.json,e30f7a7fe212,config/interleaved-replication/cell-configs/interleaved-block02-pos0-local-only.json,interleaved-block02-pos0-local-only
2,1,random-matched,config/quorum-handshake-covinst-rq7-random-matched-final-n30.json,8ad84afdab8e,config/interleaved-replication/cell-configs/interleaved-block02-pos1-random-matched.json,interleaved-block02-pos1-random-matched
